trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 0.999}",20,15,5.0768324237607905,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 1, 'e': 0.998}",30,0,-176.1350893328819,"{0: 13, 1: 5, 2: 10, 3: 1, 4: 1}",0
3,False,"{'a': 1, 'e': 0.997}",25,0,-116.36377604710694,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 1, 'e': 0.996}",25,0,-143.39721234180558,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
5,False,"{'a': 1, 'e': 0.995}",20,0,-136.66482289604113,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 1, 'e': 0.994}",30,0,-172.4014888962039,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 1, 'e': 0.993}",25,0,-94.84531179646615,"{0: 15, 1: 6, 2: 1, 3: 2, 4: 1}",0
8,False,"{'a': 1, 'e': 0.992}",25,0,-130.83545794047328,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
9,False,"{'a': 1, 'e': 0.991}",25,6,-113.69401896895148,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 2}",1
10,False,"{'a': 1, 'e': 0.99}",30,0,-103.8923441384213,"{0: 14, 1: 9, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 1, 'e': 0.989}",20,0,-28.04035234586649,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 1, 'e': 0.988}",25,0,-118.3101819227235,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 1, 'e': 0.987}",20,0,-67.0956449529562,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 1, 'e': 0.986}",20,0,-104.80870029789648,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
15,False,"{'a': 1, 'e': 0.985}",35,5,-330.1587406040314,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 6}",1
16,False,"{'a': 1, 'e': 0.984}",20,0,-87.88743332275527,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
17,False,"{'a': 1, 'e': 0.983}",25,0,-116.04270382113717,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 1, 'e': 0.982}",20,0,-75.48669218428154,"{0: 8, 1: 7, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 1, 'e': 0.981}",35,0,-145.2309007584051,"{0: 21, 1: 5, 2: 6, 3: 2, 4: 1}",0
20,False,"{'a': 1, 'e': 0.98}",25,0,-99.52174679442807,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 1, 'e': 0.979}",25,0,-135.52025242741325,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 1}",0
22,False,"{'a': 1, 'e': 0.978}",30,0,-133.80558745951467,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
23,False,"{'a': 1, 'e': 0.977}",25,0,-117.51700982098987,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 1, 'e': 0.976}",20,0,-88.99939438940903,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 1, 'e': 0.975}",20,0,-52.265112355582126,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
26,False,"{'a': 1, 'e': 0.974}",20,0,-72.1399713539777,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 1, 'e': 0.973}",30,0,-273.7500033970976,"{0: 14, 1: 2, 2: 8, 3: 2, 4: 4}",0
28,False,"{'a': 1, 'e': 0.972}",25,0,-82.84282443133296,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
29,False,"{'a': 1, 'e': 0.971}",30,0,-168.29451303912057,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
30,False,"{'a': 1, 'e': 0.97}",20,8,-72.68785429458602,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
31,False,"{'a': 1, 'e': 0.969}",20,0,-98.37780791947785,"{0: 8, 1: 6, 2: 4, 3: 2, 4: 0}",0
32,False,"{'a': 1, 'e': 0.968}",20,0,-119.68279371635724,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 1, 'e': 0.967}",30,0,-121.82190089214416,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
34,False,"{'a': 1, 'e': 0.966}",25,0,-70.08270352382644,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
35,False,"{'a': 1, 'e': 0.965}",20,0,-35.617232135931175,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
36,False,"{'a': 1, 'e': 0.964}",20,0,-91.96384256769088,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 1, 'e': 0.963}",25,0,-136.47246929996444,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
38,False,"{'a': 1, 'e': 0.962}",30,0,-211.06217923320924,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0
39,False,"{'a': 1, 'e': 0.961}",25,0,-221.10775236950047,"{0: 12, 1: 2, 2: 4, 3: 5, 4: 2}",0
40,False,"{'a': 1, 'e': 0.96}",20,0,-77.63539803169931,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
41,False,"{'a': 1, 'e': 0.959}",35,0,-96.49961660216086,"{0: 25, 1: 1, 2: 8, 3: 0, 4: 1}",1
42,False,"{'a': 1, 'e': 0.958}",20,0,-155.9420115699654,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
43,False,"{'a': 1, 'e': 0.957}",20,0,-178.62852389401377,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
44,False,"{'a': 1, 'e': 0.956}",20,0,-97.0900620861147,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 1, 'e': 0.955}",20,0,-139.4697949307553,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
46,False,"{'a': 1, 'e': 0.954}",25,0,-93.30573627895818,"{0: 12, 1: 5, 2: 8, 3: 0, 4: 0}",0
47,False,"{'a': 1, 'e': 0.953}",20,0,-72.48257138826548,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
48,False,"{'a': 1, 'e': 0.952}",30,0,-127.73574657556124,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
49,False,"{'a': 1, 'e': 0.951}",20,0,-49.294923042467616,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
50,False,"{'a': 1, 'e': 0.95}",30,0,-155.31360688586466,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
51,False,"{'a': 1, 'e': 0.949}",25,0,-115.67986450733235,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
52,False,"{'a': 1, 'e': 0.948}",30,14,-90.46429952408153,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
53,False,"{'a': 1, 'e': 0.947}",20,0,-102.87031955432971,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
54,False,"{'a': 1, 'e': 0.946}",20,0,-111.66083526801275,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
55,False,"{'a': 1, 'e': 0.945}",25,0,-166.44649581340155,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
56,False,"{'a': 1, 'e': 0.944}",20,0,-39.341167791999666,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
57,False,"{'a': 1, 'e': 0.943}",20,0,-148.87268616011903,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
58,False,"{'a': 1, 'e': 0.942}",25,0,-175.94726390267036,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
