trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-156.66144634637814,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-236.12795818462578,"{0: 10, 1: 1, 2: 10, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-58.00517557257596,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-56.963924245004115,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,9,-77.33543296519818,"{0: 5, 1: 3, 2: 1, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-160.1554178532442,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-174.7496020858546,"{0: 6, 1: 6, 2: 3, 3: 4, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,6,-48.280291248231784,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-148.15348796324471,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-120.20851435242179,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-237.11937687169203,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-86.22773001539728,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-96.62060617626922,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,2,-70.13253606961054,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-64.83277135008068,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-127.22061886355709,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-51.98897949673992,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-32.94840259516377,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-116.74188643173194,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-105.84821767706299,"{0: 8, 1: 5, 2: 5, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-19.778510094511706,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-126.9854978727014,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-131.07030346958058,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-55.37901570448683,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
